terreno,construccion,recamaras,banos,estacionamientos,ubicacion,precio,anio_construct,tipo
95.3,95.3,2,2,1,"Hipódromo De La Condesa, Cuauhtémoc, Ciudad De México 06170, México.","$5,832,775 MXN",2024,departamento
95.3,95.3,2,2,1,"Hipódromo De La Condesa, Cuauhtémoc, Ciudad De México 06170, México.","$6,281,450 MXN",2024,departamento
93.8,93.8,2,2,1,"Hipódromo De La Condesa, Cuauhtémoc, Ciudad De México 06170, México.","$6,832,012 MXN",2024,departamento
93.8,93.8,2,2,1,"Hipódromo De La Condesa, Cuauhtémoc, Ciudad De México 06170, México.","$5,950,462 MXN",2024,departamento
93.8,93.8,2,2,1,"Hipódromo De La Condesa, Cuauhtémoc, Ciudad De México 06170, México.","$6,391,237 MXN",2024,departamento
95.3,95.3,2,2,1,"Hipódromo De La Condesa, Cuauhtémoc, Ciudad De México 06170, México.","$6,730,125 MXN",2024,departamento
57.0,57.0,2,1,0,"San Marcos, Azcapotzalco, Ciudad De México 02020, México.","$1,690,000 MXN",2000,Lozeta
90.0,90.0,2,1,1,"Nochebuena, Benito Juárez, Ciudad De México 03720, México.","$4,780,000 MXN",33,Cerámica y Laminado
99.0,92.0,,2,2,"El Yaqui, Cuajimalpa De Morelos, Ciudad De México 05320, México.","$6,000,000 MXN",3,regular
80.0,80.0,3,2,1,"San Bartolo Atepehuacan, Gustavo A. Madero, Ciudad De México 07730, México.","$3,500,000 MXN",2013,regular
94.0,136.0,3,1,1,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.","$7,821,000 MXN",1930,regular
201.0,201.0,3,3,2,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.","$15,800,000 MXN",1,departamento
88.0,88.0,2,2,1,"Portales Sur, Benito Juárez, Ciudad De México 03300, México.","$3,850,000 MXN",1,departamento
135.0,338.0,3,4,2,"Lomas De los Angeles De Tetelpan, Alvaro Obregón, Ciudad De México 01790, México.","$5,000,000 MXN",14,casa
60.0,60.0,1,1,1,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.","$4,443,075 MXN",2,departamento
198.0,174.0,3,2,2,"Jardines De Coyoacán, Coyoacán, Ciudad De México 04890, México.","$7,300,000 MXN",1977,Loseta
216.0,237.0,3,1,1,"San Miguel Ajusco, Tlalpan, Ciudad De México 14700, México.","$1,800,000 MXN",2012,cerámico
197.0,197.0,1,2,2,"Anzures, Miguel Hidalgo, Ciudad De México 11590, México.","$14,000,000 MXN",2023,regular
90.0,90.0,1,2,2,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.","$6,299,000 MXN",2,departamento
67.8,67.8,2,2,1,"Cuauhtémoc, Cuauhtémoc, Ciudad De México 06500, México.","$6,160,000 MXN",,regular
150.0,292.0,7,2,3,"Veinte De Noviembre Quinto Tramo, Venustiano Carranza, Ciudad De México 15309, México.","$5,290,000 MXN",45,Loseta
389.0,564.0,4,4,2,"Parque Del Pedregal, Tlalpan, Ciudad De México 14010, México.","$15,500,000 MXN",42,casa
43.5,43.5,2,1,0,"Centro De La Ciudad De México Area 1, Cuauhtémoc, Ciudad De México 06000, México.","$2,000,000 MXN",2020,departamento
91.0,91.0,3,2,2,"Acacias, Benito Juárez, Ciudad De México 03240, México.","$7,500,000 MXN",2022,Porcelanato y Madera Tzalam
138.0,138.3,2,2,0,"Lomas De los Angeles De Tetelpan, Alvaro Obregón, Ciudad De México 01790, México.","$5,630,300 MXN",1,departamento
95.0,94.1,2,1,1,"San Pedro De Los Pinos, Benito Juárez, Ciudad De México 03800, México.","$5,475,000 MXN",1,departamento
388.0,388.0,3,3,4,"Santa Fe La Loma, Alvaro Obregón, Ciudad De México 01376, México.","$22,500,000 MXN",2009,departamento
168.0,168.3,2,2,2,"Granada, Miguel Hidalgo, Ciudad De México 11520, México.","$11,421,000 MXN",1,departamento
55.0,55.0,2,1,1,"Jamaica, Venustiano Carranza, Ciudad De México 15800, México.","$2,300,000 MXN",2014,departamento
260.0,200.0,3,2,3,"Portales Norte, Benito Juárez, Ciudad De México 03303, México.","$10,000,000 MXN",50,regular
68.0,68.0,2,2,1,"Bellavista, Alvaro Obregón, Ciudad De México 01140, México.","$2,050,000 MXN",2007,loza
250.0,307.0,4,4,5,"El Rosedal, Coyoacán, Ciudad De México 04330, México.","$12,000,000 MXN",1986,Laminado y loseta
30.0,30.0,1,1,0,"Albert, Benito Juárez, Ciudad De México 03560, México.","$1,390,000 MXN",60,regular
60.0,60.0,3,1,1,"Santa María La Ribera, Cuauhtémoc, Ciudad De México 06400, México.","$2,640,000 MXN",1993,departamento
86.6,86.6,3,1,1,"Moctezuma 2a Secc., Venustiano Carranza, Ciudad De México 15530, México.","$2,650,000 MXN",2014,loseta
216.0,216.0,2,2,3,"San Mateo Tlaltenango, Cuajimalpa De Morelos, Ciudad De México 05600, México.","$16,200,000 MXN",2016,departamento
69.0,69.0,3,1,0,"Ejido El Rosario, Azcapotzalco, Ciudad De México 02120, México.","$1,400,000 MXN",1980,regular
200.0,283.4,4,2,6,"Tres Estrellas, Gustavo A. Madero, Ciudad De México 07820, México.","$7,500,000 MXN",1993,casa
172.0,222.0,4,2,1,"Irrigación, Miguel Hidalgo, Ciudad De México 11500, México.","$15,500,000 MXN",1966,casa
198.0,200.0,14,2,0,"Olivar Del Conde 2a Secc., Alvaro Obregón, Ciudad De México 01408, México.","$3,800,000 MXN",1997,regular
393.0,292.0,2,2,3,"Las Aguilas, Alvaro Obregón, Ciudad De México 01710, México.","$17,000,000 MXN",2004,regular
300.0,660.0,4,2,2,"Constitución De 1917, Iztapalapa, Ciudad De México 09260, México.","$10,000,000 MXN",1979,regular
480.0,600.0,4,3,6,"Guadalupe Inn, Alvaro Obregón, Ciudad De México 01020, México.","$21,900,000 MXN",1990,"Parquet, mármol Y ceramica"
89.0,89.0,2,1,1,"Industrial, Gustavo A. Madero, Ciudad De México 07800, México.","$2,400,000 MXN",1994,departamento
101.0,101.0,3,2,1,"Del Valle Sur, Benito Juárez, Ciudad De México 03001, México.","$4,100,000 MXN",1996,departamento
51.0,51.0,2,1,0,"Pantitlán, Iztacalco, Ciudad De México 08100, México.","$1,370,000 MXN",2003,departamento
57.0,57.0,2,2,1,"El Jagüey, Azcapotzalco, Ciudad De México 02519, México.","$2,890,000 MXN",2014,departamento
385.0,845.0,3,5,6,"Colinas Del Bosque, Tlalpan, Ciudad De México 14608, México.","$23,998,500 MXN",2011,casa
61.0,61.0,2,1,1,"Portales Sur, Benito Juárez, Ciudad De México 03300, México.","$2,950,000 MXN",12,departamento
57.8,57.8,2,1,1,"Parque San Andrés, Coyoacán, Ciudad De México 04040, México.","$3,500,000 MXN",2017,céramico
200.0,194.5,4,3,4,"Cuajimalpa, Cuajimalpa De Morelos, Ciudad De México 05000, México.","$5,800,000 MXN",1995,casa
42.0,42.0,2,1,0,"Valle Gómez, Cuauhtémoc, Ciudad De México 06240, México.","$1,600,000 MXN",2017,departamento
75.0,129.0,2,1,0,"Roma Norte, Cuauhtémoc, Ciudad De México 06700, México.","$6,450,000 MXN",1966,casa
