terreno,construccion,recamaras,banos,estacionamientos,ubicacion,precio,anio_construct,cp,alcaldia,colonia,grado_marginalidad,pob_2010,tipo_seccion,tipo_col,precio_str,lat_long,lat,long
56.8,56.8,2.0,1.0,0,"Guerrero, Cuauhtémoc, Ciudad De México 06300, México.",1550000.0,1999.0,6300,CUAUHTEMOC,GUERRERO I,4.0,42339.0,URBANO(A),COLONIA,"$1,550,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
558.2,465.3,3.0,4.0,5,"Lomas De Vista Hermosa, Cuajimalpa De Morelos, Ciudad De México 05100, México.",31047000.0,2023.0,5100,CUAJIMALPA DE MORELOS,JARDINES DE LA PALMA (HUIZACHITO),2.0,10348.0,URBANO(A),COLONIA,"$31,047,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
66.1,66.1,2.0,1.0,1,"Niños Héroes De Chapultepec, Benito Juárez, Ciudad De México 03440, México.",2500000.0,2000.0,3440,BENITO JUAREZ,NIÑOS HEROES DE CHAPULTEPEC,3.0,8724.0,URBANO(A),COLONIA,"$2,500,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
86.2,60.8,2.0,2.0,1,"San Rafael, Cuauhtémoc, Ciudad De México 06470, México.",3500000.0,2015.0,6470,CUAUHTEMOC,SAN RAFAEL I,3.0,19684.0,URBANO(A),COLONIA,"$3,500,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
81.0,81.0,2.0,2.0,1,"Roma Norte, Cuauhtémoc, Ciudad De México 06700, México.",4500000.0,2015.0,6700,CUAUHTEMOC,ROMA NORTE I,3.0,27770.0,URBANO(A),COLONIA,"$4,500,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
139.7,139.7,3.0,3.0,0,"El Contadero, Cuajimalpa De Morelos, Ciudad De México 05500, México.",10985080.0,2004.0,5500,CUAJIMALPA DE MORELOS,EL CONTADERO,1.0,5116.0,URBANO(A),COLONIA,"$10,985,080 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
84.2,84.2,3.0,2.0,1,"La Preciosa, Azcapotzalco, Ciudad De México 02460, México.",3200000.0,2021.0,2460,AZCAPOTZALCO,LA PRECIOSA,4.0,3750.0,URBANO(A),COLONIA,"$3,200,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
50.2,50.2,2.0,1.0,1,"Azcapotzalco, Azcapotzalco, Ciudad De México 02070, México.",2485000.0,2022.0,2070,AZCAPOTZALCO,DEL RECREO,3.0,13063.0,URBANO(A),CONJUNTO HABITACIONAL,"$2,485,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
60.0,60.0,2.0,1.0,1,"Nápoles, Benito Juárez, Ciudad De México 03810, México.",3900000.0,2018.0,3810,BENITO JUAREZ,NAPOLES,2.0,15487.0,URBANO(A),COLONIA,"$3,900,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
200.0,195.5,3.0,2.0,6,"Nueva Atzacoalco, Gustavo A. Madero, Ciudad De México 07420, México.",6700000.0,1989.0,7420,GUSTAVO A. MADERO,EL COYOL (U HAB),5.0,26496.0,URBANO(A),COLONIA,"$6,700,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
180.0,497.0,8.0,6.0,4,"Avante, Coyoacán, Ciudad De México 04460, México.",17000000.0,2024.0,4460,COYOACAN,AVANTE,1.0,9655.0,URBANO(A),COLONIA,"$17,000,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
63.0,63.0,2.0,1.0,1,"Arenal, Azcapotzalco, Ciudad De México 02980, México.",2979000.0,2022.0,2980,AZCAPOTZALCO,ARENAL,4.0,5796.0,URBANO(A),COLONIA,"$2,979,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
52.0,52.0,3.0,1.0,0,"Guerrero, Cuauhtémoc, Ciudad De México 06300, México.",1500000.0,2001.0,6300,CUAUHTEMOC,GUERRERO I,4.0,42339.0,URBANO(A),COLONIA,"$1,500,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
