,,CATALOGO DE COLONIAS DEL ESTADO DE DISTRITO FEDERAL,CATALOGO DE COLONIAS ,,,,,,,,
,,,,,,,,,,,
,ID,ENTIDAD,DISTRITO,MUNICIPIO,NOMBRE DEL MUNICIPIO,SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,CONTROL
,1632,9,1,5,GUSTAVO A. MADERO,885,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1632,9,1,5,GUSTAVO A. MADERO,886,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1650,9,1,5,GUSTAVO A. MADERO,886,URBANO(A),COLONIA,LUIS DONALDO COLOSIO,7164,1756
,1632,9,1,5,GUSTAVO A. MADERO,887,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1632,9,1,5,GUSTAVO A. MADERO,888,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1632,9,1,5,GUSTAVO A. MADERO,889,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1634,9,1,5,GUSTAVO A. MADERO,890,URBANO(A),UNIDAD HABITACIONAL,5 DE MAYO,7200,1740
,1706,9,1,5,GUSTAVO A. MADERO,890,URBANO(A),COLONIA,CUAUTEPEC DE MADERO,7200,1816
,1706,9,1,5,GUSTAVO A. MADERO,891,URBANO(A),COLONIA,CUAUTEPEC DE MADERO,7200,1816
,960,9,1,5,GUSTAVO A. MADERO,892,URBANO(A),COLONIA,CASTILLO CHICO,7220,1008
,1706,9,1,5,GUSTAVO A. MADERO,892,URBANO(A),COLONIA,CUAUTEPEC DE MADERO,7200,1816
,1702,9,1,5,GUSTAVO A. MADERO,893,URBANO(A),COLONIA,AHUEHUETES,7189,1812
,1702,9,1,5,GUSTAVO A. MADERO,894,URBANO(A),COLONIA,AHUEHUETES,7189,1812
,969,9,1,5,GUSTAVO A. MADERO,894,URBANO(A),COLONIA,TLALPEXCO,7188,1017
,969,9,1,5,GUSTAVO A. MADERO,895,URBANO(A),COLONIA,TLALPEXCO,7188,1017
,965,9,1,5,GUSTAVO A. MADERO,896,URBANO(A),COLONIA,EL CARMEN,7199,1013
,969,9,1,5,GUSTAVO A. MADERO,896,URBANO(A),COLONIA,TLALPEXCO,7188,1017
,960,9,1,5,GUSTAVO A. MADERO,897,URBANO(A),COLONIA,CASTILLO CHICO,7220,1008
,965,9,1,5,GUSTAVO A. MADERO,897,URBANO(A),COLONIA,EL CARMEN,7199,1013
,1706,9,1,5,GUSTAVO A. MADERO,898,URBANO(A),COLONIA,CUAUTEPEC DE MADERO,7200,1816
,1705,9,1,5,GUSTAVO A. MADERO,898,URBANO(A),COLONIA,DEL BOSQUE,7281,1815
,1632,9,1,5,GUSTAVO A. MADERO,899,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1632,9,1,5,GUSTAVO A. MADERO,900,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1632,9,1,5,GUSTAVO A. MADERO,901,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1632,9,1,5,GUSTAVO A. MADERO,902,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1632,9,1,5,GUSTAVO A. MADERO,903,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1632,9,1,5,GUSTAVO A. MADERO,904,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1706,9,1,5,GUSTAVO A. MADERO,905,URBANO(A),COLONIA,CUAUTEPEC DE MADERO,7200,1816
,1705,9,1,5,GUSTAVO A. MADERO,905,URBANO(A),COLONIA,DEL BOSQUE,7281,1815
,1705,9,1,5,GUSTAVO A. MADERO,906,URBANO(A),COLONIA,DEL BOSQUE,7281,1815
,1633,9,1,5,GUSTAVO A. MADERO,906,URBANO(A),UNIDAD HABITACIONAL,VILLAS DE CUAUTEPEC,7200,1739
,1706,9,1,5,GUSTAVO A. MADERO,907,URBANO(A),COLONIA,CUAUTEPEC DE MADERO,7200,1816
,966,9,1,5,GUSTAVO A. MADERO,908,URBANO(A),COLONIA,CASTILLO GRANDE,7220,1014
,964,9,1,5,GUSTAVO A. MADERO,908,URBANO(A),COLONIA,GUADALUPE VICTORIA,7209,1012
,967,9,1,5,GUSTAVO A. MADERO,909,URBANO(A),AMPLIACION,CASTILLO GRANDE,7224,1015
,966,9,1,5,GUSTAVO A. MADERO,909,URBANO(A),COLONIA,CASTILLO GRANDE,7220,1014
,965,9,1,5,GUSTAVO A. MADERO,909,URBANO(A),COLONIA,EL CARMEN,7199,1013
,966,9,1,5,GUSTAVO A. MADERO,910,URBANO(A),COLONIA,CASTILLO GRANDE,7220,1014
,967,9,1,5,GUSTAVO A. MADERO,910,URBANO(A),AMPLIACION,CASTILLO GRANDE,7224,1015
,964,9,1,5,GUSTAVO A. MADERO,910,URBANO(A),COLONIA,GUADALUPE VICTORIA,7209,1012
,966,9,1,5,GUSTAVO A. MADERO,911,URBANO(A),COLONIA,CASTILLO GRANDE,7220,1014
,967,9,1,5,GUSTAVO A. MADERO,911,URBANO(A),AMPLIACION,CASTILLO GRANDE,7224,1015
,964,9,1,5,GUSTAVO A. MADERO,911,URBANO(A),COLONIA,GUADALUPE VICTORIA,7209,1012
,967,9,1,5,GUSTAVO A. MADERO,912,URBANO(A),AMPLIACION,CASTILLO GRANDE,7224,1015
,966,9,1,5,GUSTAVO A. MADERO,912,URBANO(A),COLONIA,CASTILLO GRANDE,7220,1014
,1706,9,1,5,GUSTAVO A. MADERO,913,URBANO(A),COLONIA,CUAUTEPEC DE MADERO,7200,1816
,1701,9,1,5,GUSTAVO A. MADERO,913,URBANO(A),COLONIA,EL ARBOLILLO,7240,1811
,964,9,1,5,GUSTAVO A. MADERO,913,URBANO(A),COLONIA,GUADALUPE VICTORIA,7209,1012
,1701,9,1,5,GUSTAVO A. MADERO,914,URBANO(A),COLONIA,EL ARBOLILLO,7240,1811
,964,9,1,5,GUSTAVO A. MADERO,914,URBANO(A),COLONIA,GUADALUPE VICTORIA,7209,1012
,1631,9,1,5,GUSTAVO A. MADERO,914,URBANO(A),COLONIA,ZONA ESCOLAR ORIENTE,7239,1737
,1631,9,1,5,GUSTAVO A. MADERO,915,URBANO(A),COLONIA,ZONA ESCOLAR ORIENTE,7239,1737
,1705,9,1,5,GUSTAVO A. MADERO,916,URBANO(A),COLONIA,DEL BOSQUE,7281,1815
,1621,9,1,5,GUSTAVO A. MADERO,916,URBANO(A),COLONIA,ZONA ESCOLAR,7230,1727
,1621,9,1,5,GUSTAVO A. MADERO,917,URBANO(A),COLONIA,ZONA ESCOLAR,7230,1727
,1621,9,1,5,GUSTAVO A. MADERO,918,URBANO(A),COLONIA,ZONA ESCOLAR,7230,1727
,1621,9,1,5,GUSTAVO A. MADERO,919,URBANO(A),COLONIA,ZONA ESCOLAR,7230,1727
,1621,9,1,5,GUSTAVO A. MADERO,920,URBANO(A),COLONIA,ZONA ESCOLAR,7230,1727
,1621,9,1,5,GUSTAVO A. MADERO,921,URBANO(A),COLONIA,ZONA ESCOLAR,7230,1727
,1621,9,1,5,GUSTAVO A. MADERO,922,URBANO(A),COLONIA,ZONA ESCOLAR,7230,1727
,966,9,1,5,GUSTAVO A. MADERO,923,URBANO(A),COLONIA,CASTILLO GRANDE,7220,1014
